연번,업종명,업소명,영업소 주소(도로명),소재지전화
69,일반미용업,까꼬뽀꼬,경상남도 함안군 가야읍 함안대로 565, 055- 582-1334
70,일반미용업,최유정 미용실,경상남도 함안군 가야읍 가야6길 11-4, 055- 587-4777
71,일반미용업,세련미용실,경상남도 함안군 칠원읍 구성길 8-7, 055- 587-1024
72,일반미용업,뽐헤어,"경상남도 창원시 의창구 사화로9번길 26, 상아데파트102호일부 1층 (팔용동)",
73,일반미용업,하영미용실,경상남도 함안군 군북면 함마대로 811,055 -585 -6404
74,일반미용업,진앤지 미용실,"경상남도 함안군 칠서면 칠평로 69, 1층 114호 (칠서에이스아파트상가 )",055 -586 -0966
75,일반미용업,강 헤어,"경상남도 함안군 법수면 석무길 144, 1호",055 -572 -9559
76,일반미용업,순수헤어,"경상남도 함안군 칠원읍 용산1길 33, 1층",055 -586 -7925
77,일반미용업,정아미용실,경상남도 함안군 칠원읍 서남1길 1,055 -586 -0365
78,일반미용업,까꼬뽀꼬,"경상남도 함안군 칠원읍 구성길 38, 1층 101호",055 -586 -7377
79,일반미용업,태양헤어,경상남도 함안군 가야읍 남경길 16,055 -584 -4500
80,일반미용업,씨씨헤어,경상남도 함안군 칠원읍 오곡로 94,055 -586 -5721
81,일반미용업,블링블링헤어,경상남도 함안군 가야읍 가야로 45-1,
82,일반미용업,박소영 미용실,경상남도 함안군 가야읍 가야로 45,055 -583 -2811
83,일반미용업,헤어파티,경상남도 함안군 가야읍 함안대로 552,055 -585 -0220
84,일반미용업,에벤에셀 미용실,경상남도 함안군 가야읍 함안대로 584,055 -584 -4852
85,일반미용업,미다모아미용실,경상남도 함안군 가야읍 방목1길 13-3,055 -582 -4570
86,일반미용업,끌림헤어,경상남도 함안군 칠원읍 용산1길 3,055 -586 -2989
87,일반미용업,제이헤어벨르,경상남도 함안군 가야읍 성내북길 16,
88,일반미용업,남경헤어시티,경상남도 함안군 가야읍 가야15길 14,
89,일반미용업,연 헤어 갤러리,경상남도 함안군 칠원읍 구성길 121,055 -586 -8259
90,일반미용업,오렌지미용실,경상남도 함안군 대산면 대산중앙로 206-1,055 -582 -2999
91,일반미용업,꿈꾸는 미용실,경상남도 함안군 가야읍 성내남길 23-5,
92,일반미용업,Gem헤어(젬헤어),"경상남도 함안군 칠원읍 호암길 26 (밀라노상가 107호, 108호)",055 -587 -1402
93,일반미용업,헤라 헤어샵,경상남도 함안군 가야읍 성내북길 14,055 -585 -2252
94,일반미용업,g헤어컷,"경상남도 함안군 칠원읍 호암길 10, 215동 105호 (벽산블루밍(2차))",055 -586 -3873
95,일반미용업,변신창고,경상남도 함안군 칠원읍 호암길 10 (벽산블루밍2차상가 215동 103호), 055- 586-8932
96,일반미용업,헤어모드,경상남도 함안군 가야읍 함마대로 1501,055 -584 -0668
97,일반미용업,성덕머리방,경상남도 함안군 함안면 함안대로 106,
98,일반미용업,진혜어샵,경상남도 함안군 가야읍 가야로 86,055 -585 -5530
99,일반미용업,지오,경상남도 함안군 칠원읍 원서로 26-1,055 -587 -6003
100,일반미용업,하나미용실,경상남도 함안군 가야읍 함안대로 547,055 -583 -5245
101,일반미용업,뽄재이헤어,"경상남도 함안군 가야읍 함안대로 581, 1층",055 -585 -9696
102,일반미용업,살롱 드 엔유,"경상남도 함안군 칠원읍 호암길 14, 1층 110호 (DH상가)",055 -587 -0072
103,일반미용업,케어셀라 염색방,경상남도 함안군 칠원읍 구성길 19-1,
104,일반미용업,예나헤어,"경상남도 함안군 가야읍 가야로 143, 예나헤어",
105,일반미용업,지원헤어,"경상남도 함안군 가야읍 함마대로 1511, 1층 102호",055 -585 -6462
106,일반미용업,살롱 드 블리스,"경상남도 함안군 칠서면 함의로 7, 1층 101호 (칠서기공아파트)",
107,일반미용업,퀸즈헤나 전문샵,"경상남도 함안군 가야읍 가야로 158, 104호",
108,일반미용업,"선미, 헤어다방","경상남도 함안군 가야읍 성내남길 186, 1층 109호 (휴니온클래식)",
109,일반미용업,현헤어,"경상남도 함안군 가야읍 성내북길 27, 102호",
110,일반미용업,살롱드 해리,"경상남도 함안군 가야읍 가야로 77, 1층 102호",
111,일반미용업,살롱드지캉,경상남도 함안군 칠원읍 구성길 22,
112,일반미용업,SUIN(수인)헤어,경상남도 함안군 가야읍 방목1길 16-18,
113,일반미용업,헤어 in 파우더룸,"경상남도 함안군 가야읍 가야18길 23, 1층 2호",
114,일반미용업,하나미용실,"경상남도 함안군 법수면 석무길 132, 3호",
115,일반미용업,지니 헤어,"경상남도 함안군 가야읍 가야20길 24-1, 102호",
116,일반미용업,지니미장원,"경상남도 함안군 칠서면 칠평로 69, 칠서에이스아파트1단지상가 2층 212호",
117,일반미용업,홍미장,경상남도 함안군 가야읍 방목1길 47,
118,일반미용업,별헤어,"경상남도 함안군 칠원읍 예곡1길 46-10, 103동 102호 (새롬파크빌)",
119,일반미용업,송담미용실,"경상남도 함안군 가야읍 가야로 135, 1층",
120,일반미용업,셀프미용실,"경상남도 함안군 칠원읍 구성길 31, 1층 102호",
121,일반미용업,헤어드레서,"경상남도 함안군 칠원읍 오곡로 95, 상가 6호",055 -587 -7908
122,일반미용업,머리염색 짱,"경상남도 함안군 칠원읍 용산2길 65, 1층",
123,일반미용업,하나 미용실,"경상남도 함안군 칠북면 칠북로 35, 1층",
124,일반미용업,청춘살롱,경상남도 함안군 가야읍 함안대로 581-2,055 -584 -5888
125,일반미용업,머리해봄,"경상남도 함안군 가야읍 함안대로 576-2, 1층",
126,일반미용업,깔롱쟁이,경상남도 함안군 가야읍 가야로 111,
127,일반미용업,살롱드39,경상남도 함안군 군북면 장신골길 70 (데시앙(APT)),
128,피부미용업,비타민 웰빙 테라피,경상남도 함안군 가야읍 장터길 5 ((4층)), 055- 583-6075
129,피부미용업,최역순피부미용,경상남도 함안군 가야읍 가야로 40, 055- 584-3075
130,피부미용업,혜주 피부관리실,경상남도 함안군 가야읍 말산1길 23, 055- 583-4807
131,피부미용업,김미애피부관리실,"경상남도 함안군 가야읍 성내남길 186, 2층 201호 (휴니온클래식)",055 -583 -6914
132,피부미용업,김정문 알로에(함안점),"경상남도 함안군 산인면 송산로 122, 1층 103호",
133,피부미용업,누블리,"경상남도 함안군 가야읍 가야6길 7, 2층",
134,피부미용업,더나은셀힐링센터,"경상남도 함안군 산인면 가야로 221, 산인우체국 지하1층",
135,피부미용업,손결뷰티썸,"경상남도 함안군 가야읍 가야로 15, 1층 1호",
136,피부미용업,꽃피부#,"경상남도 함안군 칠원읍 구성길 8-7, 1층 2호",
137,피부미용업,라니스킨앤바디,"경상남도 함안군 칠원읍 호암길 26, 밀라노타워 4층 410호",
138,피부미용업,j테라피,경상남도 함안군 가야읍 성내북길 38-10,
139,피부미용업,김귀숙 피부관리,"경상남도 함안군 가야읍 함안대로 581, 1층",
140,피부미용업,예뻐지니 피부샵,경상남도 함안군 칠서면 삼칠로 257,
141,피부미용업,눈애,경상남도 함안군 가야읍 가야8길 12,
