구분,아파트 단지명,위 치(도로명 주소),세대수,연면적합계(제곱미터),사용승인일,동수,지하,지상,세부용도
121,대광건설다세대,경상남도 함안군 군북면 중암리 25-8(중암10길 16),12,618.76,2014-07-02,1,0,5,다세대
122,효성빌리지,경상남도 함안군 군북면 덕대리 189(덕대길 26-10),16,1314.08,2015-04-07,2,0,5,다세대
123,대광건설다세대,경상남도 함안군 군북면 중암리 151-8(중암3길 88-3),8,656.38,2017-04-05,1,0,5,다세대
124,호명빌라,경상남도 함안군 함안면 북촌리 1058(함마대로 127-3),16,1296.56,1997-01-24,2,0,4,다세대
125,최○○씨다세대,경상남도 함안군 함안면 봉성리 886-1(비봉로 131),16,1240.88,2015-06-23,2,0,5,다세대
126,예○○씨다세대,경상남도 함안군 함안면 북촌리 908(북촌3길 111),10,593.27,2016-08-17,1,0,4,다세대
127,천년빌라,경상남도 함안군 함안면 봉성리 970-5(함안대로 62-4),16,1313.38,2017-09-27,2,0,5,다세대
128,㈜엘앤씨하우징다세대,경상남도 함안군 함안면 봉성리 970-1(함안대로 58),16,1200.8,2020-10-13,2,0,5,다세대
129,더원스토리하나,경상남도 함안군 법수면 윤외리 162-2(석무길 53-8),8,600.8,2014-05-23,1,0,4,다세대
130,힐링빌,경상남도 함안군 법수면 윤내리 416-1(부남길 70),12,1089.76,2018-09-06,2,0,4,다세대
131,현은빌라,경상남도 함안군 칠서면 회산리 316-7(회산2길 22-47),3,475.9,2002-09-05,1,0,4,다세대
132,필하우스,경상남도 함안군 칠서면 대치리 321-5(공단상가 2길31),16,760.74,2013-01-16,1,0,4,다세대
133,남구동 주택,경상남도 함안군 칠원읍 구성리 367-3(성내2길 4),2,170.67,1993-10-16,1,0,2,다세대
134,이현빌라,경상남도 함안군 칠원읍 용산리 140-1(이현길25),4,319.41,1993-04-26,1,1,2,다세대
135,정수장숙소,경상남도 함안군 칠원읍 예곡리 735(오곡로 70-24),8,2140.38,1905-06-06,1,1,2,다세대
136,대진빌라,경상남도 함안군 칠원읍 용정리 249-1(석전1길 111-4),8,658.8,2005-09-08,1,0,4,다세대
137,새롬파크빌101,경상남도 함안군 칠원읍 예곡리 145-3(예곡1길 46-6),6,657.32,2014-03-10,1,0,4,다세대
138,새롬파크빌102,경상남도 함안군 칠원읍 예곡리 146-2(예곡1길 46-8),6,657.32,2014-03-10,1,0,4,다세대
139,새롬파크빌103,경상남도 함안군 칠원읍 예곡리 413(예곡1길 46-10),9,842.51,2014-03-12,1,0,4,다세대
140,새롬파크빌104,경상남도 함안군 칠원읍 예곡리 145(예곡1길 46-14),8,656.14,2014-07-21,1,0,4,다세대
141,새롬파크빌105,경상남도 함안군 칠원읍 예곡리 145-5(예곡1길 46-12),8,657.32,2014-07-21,1,0,4,다세대
142,새롬파크빌106,경상남도 함안군 칠원읍 예곡리 142-7(예곡1길 46-16),8,657.32,2014-07-04,1,0,4,다세대
143,새롬파크빌107,경상남도 함안군 칠원읍 예곡리 139-5(예곡1길 46-17),8,658.56,2016-11-10,1,0,4,다세대
144,"새롬파크빌108,109",경상남도 함안군 칠원읍 예곡리 138(예곡1길 46-18),16,1318.32,2016-11-10,2,0,4,다세대
